photo_id,age,group
26_0_1_20170117200132563.jpg,26,5
29_1_2_20170116162958843.jpg,29,5
71_1_0_20170110181315747.jpg,71,8
80_1_0_20170110141417728.jpg,80,8
22_1_1_20170114031355312.jpg,22,4
45_0_0_20170117203225383.jpg,45,7
36_0_4_20170117203502182.jpg,36,6
40_1_1_20170117154203322.jpg,40,6
1_0_0_20161219140623097.jpg,1,1
85_1_0_20170120222635457.jpg,85,8
55_0_0_20170111195247744.jpg,55,7
7_1_0_20170109192242639.jpg,7,2
82_1_1_20170113012909920.jpg,82,8
35_0_2_20170116191801122.jpg,35,6
17_0_0_20170104230556561.jpg,17,4
33_0_4_20170116220014045.jpg,33,6
19_0_0_20170102233014401.jpg,19,4
55_0_0_20170116193520434.jpg,55,7
20_0_0_20170116201311689.jpg,20,4
26_0_2_20170116233100347.jpg,26,5
25_1_2_20170116175148849.jpg,25,5
24_1_2_20170116171152247.jpg,24,4
24_1_3_20170109132425493.jpg,24,4
52_1_0_20170109221057047.jpg,52,7
91_0_1_20170117194736477.jpg,91,8
25_0_4_20170117193022316.jpg,25,5
58_0_1_20170117195329446.jpg,58,7
28_1_1_20170112234152465.jpg,28,5
26_0_2_20170120134050439.jpg,26,5
44_1_0_20170105001250091.jpg,44,7
7_0_4_20170103205144794.jpg,7,2
72_1_0_20170110182012800.jpg,72,8
58_0_0_20170113185339857.jpg,58,7
11_1_1_20170114033545468.jpg,11,3
18_0_1_20170113151656761.jpg,18,4
69_0_1_20170113184901806.jpg,69,8
4_1_2_20161219192055923.jpg,4,2
60_1_1_20170112211606108.jpg,60,7
26_1_3_20170117154935165.jpg,26,5
39_1_0_20170103163234408.jpg,39,6
37_0_0_20170116185003477.jpg,37,6
27_0_2_20170116161920941.jpg,27,5
26_1_3_20170119193113828.jpg,26,5
40_1_1_20170113001848827.jpg,40,6
30_1_1_20170117170832874.jpg,30,5
40_0_0_20170117170807947.jpg,40,6
52_0_0_20170113183829983.jpg,52,7
85_1_2_20170110175723033.jpg,85,8
4_1_2_20161219142742801.jpg,4,2
5_1_0_20170109194058911.jpg,5,2
26_1_0_20170117005855768.jpg,26,5
64_0_2_20170116193425715.jpg,64,8
30_0_1_20170117120438367.jpg,30,5
85_1_1_20170110182031363.jpg,85,8
36_1_1_20170114030712822.jpg,36,6
53_0_0_20170109012709495.jpg,53,7
8_1_0_20170109201053203.jpg,8,2
48_1_0_20170109220544479.jpg,48,7
13_1_0_20170109203635557.jpg,13,3
54_0_4_20170117204427774.jpg,54,7
4_0_1_20170110213631827.jpg,4,2
13_0_0_20170110225438328.jpg,13,3
65_0_0_20170113185234983.jpg,65,8
45_1_0_20170104211742180.jpg,45,7
39_1_4_20170105173036253.jpg,39,6
59_0_1_20170117192104465.jpg,59,7
1_0_2_20161219203016316.jpg,1,1
27_1_3_20170119194425057.jpg,27,5
75_0_2_20170111210029130.jpg,75,8
40_0_4_20170116213431880.jpg,40,6
16_0_0_20170110225708208.jpg,16,4
55_1_1_20170112221944068.jpg,55,7
21_1_0_20170117193748045.jpg,21,4
7_1_0_20170109205404516.jpg,7,2
29_0_1_20170117180836731.jpg,29,5
26_0_0_20170120134406935.jpg,26,5
86_1_0_20170110153717173.jpg,86,8
20_0_1_20170113132727849.jpg,20,4
8_1_0_20170109202308260.jpg,8,2
28_1_1_20170116013959188.jpg,28,5
16_1_0_20170109213440225.jpg,16,4
32_1_0_20170116220919526.jpg,32,6
65_1_1_20170112220241647.jpg,65,8
3_1_0_20170109190700159.jpg,3,1
9_1_4_20170103200637399.jpg,9,3
4_1_4_20170109192812215.jpg,4,2
90_1_0_20170120140047472.jpg,90,8
70_1_0_20170110124127878.jpg,70,8
29_1_1_20170112235125873.jpg,29,5
8_1_4_20170103200419199.jpg,8,2
89_1_2_20170110182930160.jpg,89,8
35_1_1_20170113012452639.jpg,35,6
72_0_2_20170112205400276.jpg,72,8
58_0_3_20170119211539872.jpg,58,7
26_1_1_20170112231645231.jpg,26,5
72_1_0_20170110125258812.jpg,72,8
2_1_0_20170109192428145.jpg,2,1
12_1_2_20170103201240488.jpg,12,3
23_1_1_20170103223013127.jpg,23,4
26_0_3_20170117153919644.jpg,26,5
26_1_1_20170113012058856.jpg,26,5
31_1_0_20170117133422225.jpg,31,5
38_0_0_20170117125958451.jpg,38,6
29_0_1_20170117094430566.jpg,29,5
60_1_0_20170110154613614.jpg,60,7
75_0_3_20170111202756116.jpg,75,8
34_1_3_20170105001226421.jpg,34,6
42_0_0_20170117154810113.jpg,42,7
30_0_1_20170113133914136.jpg,30,5
26_1_4_20170117201548014.jpg,26,5
27_0_3_20170104230231577.jpg,27,5
26_0_3_20170119192253329.jpg,26,5
45_0_0_20170104194418815.jpg,45,7
44_0_0_20170117140036990.jpg,44,7
36_0_1_20170116191931354.jpg,36,6
24_0_3_20170119164640038.jpg,24,4
26_1_0_20170103181852617.jpg,26,5
70_1_0_20170110122856556.jpg,70,8
1_0_0_20170110212623527.jpg,1,1
28_1_4_20170117202558575.jpg,28,5
28_0_0_20170103225936561.jpg,28,5
59_1_0_20170110141807087.jpg,59,7
25_1_2_20170104020903060.jpg,25,5
21_1_1_20170112202847954.jpg,21,4
20_1_1_20170114025540321.jpg,20,4
7_1_0_20170114025204820.jpg,7,2
27_0_1_20170113182853263.jpg,27,5
61_0_0_20170105173654895.jpg,61,8
41_1_0_20170117135713137.jpg,41,7
23_1_3_20170104222242439.jpg,23,4
21_1_0_20170117193630115.jpg,21,4
32_1_1_20170112234515247.jpg,32,6
22_1_3_20170117143720305.jpg,22,4
32_0_2_20170116162322805.jpg,32,6
60_1_0_20170110141826799.jpg,60,7
3_0_0_20170110213411465.jpg,3,1
61_0_2_20170105180829158.jpg,61,8
17_0_0_20170110231820806.jpg,17,4
2_1_0_20170109191548450.jpg,2,1
24_1_0_20170103163127424.jpg,24,4
75_1_2_20170112224034603.jpg,75,8
1_0_0_20161219194756275.jpg,1,1
31_1_1_20170116023946391.jpg,31,5
21_1_0_20170117142653808.jpg,21,4
58_1_3_20170104220324390.jpg,58,7
17_1_4_20170104011834409.jpg,17,4
14_0_0_20170110231657425.jpg,14,3
60_1_0_20170110123131564.jpg,60,7
90_0_0_20170111222613993.jpg,90,8
47_0_0_20170105173116787.jpg,47,7
26_1_3_20170117174352558.jpg,26,5
27_1_1_20170112234238832.jpg,27,5
4_0_0_20170110224413618.jpg,4,2
28_1_3_20170119204506255.jpg,28,5
23_1_3_20170119164419982.jpg,23,4
28_0_0_20170117180237845.jpg,28,5
44_0_3_20170113001948987.jpg,44,7
15_0_0_20170110225705232.jpg,15,3
11_1_0_20170109204833458.jpg,11,3
9_0_1_20170110220605937.jpg,9,3
26_0_0_20170117172624038.jpg,26,5
30_0_2_20170119183959989.jpg,30,5
62_0_1_20170113154852003.jpg,62,8
24_1_0_20170105183618095.jpg,24,4
80_0_0_20170117175148148.jpg,80,8
35_1_1_20170112235121616.jpg,35,6
27_0_0_20170116182634081.jpg,27,5
35_1_0_20170117135254967.jpg,35,6
54_0_3_20170104202315035.jpg,54,7
4_1_2_20161219204019100.jpg,4,2
27_0_0_20170116204851886.jpg,27,5
82_0_0_20170111205943203.jpg,82,8
57_0_0_20170111201514151.jpg,57,7
42_1_0_20170113000148605.jpg,42,7
40_0_0_20170104201002201.jpg,40,6
37_1_1_20170117014034055.jpg,37,6
24_1_1_20170115235804280.jpg,24,4
30_1_4_20170117203004549.jpg,30,5
54_1_0_20170117171446412.jpg,54,7
14_0_4_20170103201105568.jpg,14,3
45_1_0_20170109142531078.jpg,45,7
31_1_3_20170119200201348.jpg,31,5
28_0_2_20161219192654931.jpg,28,5
58_1_1_20170113012151936.jpg,58,7
